niveau;bonus;points_bonus;vitesse_pacman;vitesse_pacman_eating;vitesse_fantome;red_boost_threshold1;red_boost1;red_boost_threshold2;red_boost2;super_pacman_vitesse;super_pacman_eating;fright_ghost_vitesse;fright_time;nb_flashes
1;cerise;100;0.8;0.71;0.75;20;0.8;10;0.85;0.9;0.79;0.5;6;5
2;fraise;300;0.9;0.79;0.85;30;0.9;15;0.95;0.95;0.83;0.55;5;5
3;peche;500;0.9;0.79;0.85;40;0.9;20;0.95;0.95;0.83;0.55;4;5
4;peche;500;0.9;0.79;0.85;40;0.9;20;0.95;0.95;0.83;0.55;3;5
5;pomme;700;1;0.87;0.95;40;1;20;1.05;1;0.87;0.6;2;5
6;pomme;700;1;0.87;0.95;50;1;25;1.05;1;0.87;0.6;5;5
7;raisins;1000;1;0.87;0.95;50;1;25;1.05;1;0.87;0.6;2;5
8;raisins;1000;1;0.87;0.95;50;1;25;1.05;1;0.87;0.6;2;5
9;galaxien;2000;1;0.87;0.95;60;1;30;1.05;1;0.87;0.6;1;3
10;galaxien;2000;1;0.87;0.95;60;1;30;1.05;1;0.87;0.6;5;5
11;cloche;3000;1;0.87;0.95;60;1;30;1.05;1;0.87;0.6;2;5
12;cloche;3000;1;0.87;0.95;80;1;40;1.05;1;0.87;0.6;1;3
13;cle;5000;1;0.87;0.95;80;1;40;1.05;1;0.87;0.6;1;3
14;cle;5000;1;0.87;0.95;80;1;40;1.05;1;0.87;0.6;3;5
15;cle;5000;1;0.87;0.95;100;1;50;1.05;1;0.87;0.6;1;3
16;cle;5000;1;0.87;0.95;100;1;50;1.05;1;0.87;0.6;1;3
17;cle;5000;1;0.87;0.95;100;1;50;1.05;1;0.87;0.6;1;3
18;cle;5000;1;0.87;0.95;100;1;50;1.05;1;0.87;0.6;1;3
19;cle;5000;1;0.87;0.95;120;1;60;1.05;1;0.87;0.6;1;3
20;cle;5000;1;0.87;0.95;120;1;60;1.05;1;0.87;0.6;1;3
21;cle;5000;0.9;0.79;0.95;120;1;60;1.05;1;0.87;0.6;1;3
